code,basin,num
78,chao-hu,1
105,chao-hu,1
62,dian-chi,2
124,dian-chi,2
209,dian-chi,2
62,dian-chi,2
210,dian-chi,2
197,er-hai,3
177,fu-xian-hu,4
53,hai-he,5
60,hai-he,5
54,hai-he-1,5
60,hai-he-1,5
66,hai-he-2,5
73,hai-he-2,5
60,hai-he-2,5
72,hai-he-3,5
60,hai-he-3,5
138,hai-he-4,5
60,hai-he-4,5
190,hai-nan-dao-nei-he-liu,6
192,hai-nan-dao-nei-he-liu-1,6
202,hai-nan-dao-nei-he-liu-2,6
120,huai-he,7
32,huai-he,7
58,huai-he,7
109,huai-he,7
19,huai-he,7
154,huai-he-1,7
32,huai-he-1,7
59,huai-he-2,7
58,huai-he-2,7
161,huai-he-3,7
58,huai-he-3,7
162,huai-he-4,7
58,huai-he-4,7
166,huai-he-4,7
109,huai-he-4,7
55,huai-he-4,7
19,huai-he-5,7
157,huai-he-5,7
155,huai-he-5,7
106,huai-he-6,7
151,huai-he-6,7
152,huai-he-6,7
151,huai-he-7,7
159,huai-he-7,7
164,huai-he-8,7
156,huai-he-8,7
147,huai-he-8,7
150,huai-he-8,7
20,huai-he-8,7
153,huai-he-8,7
134,huai-he-9,7
112,huai-he-9,7
19,huai-he-10,7
112,huai-he-10,7
152,huai-he-10,7
164,huai-he-11,7
112,huai-he-11,7
147,huai-he-11,7
122,huai-he-12,7
149,huai-he-13,7
85,huang-he,8
12,huang-he,8
141,huang-he,8
84,huang-he,8
108,huang-he,8
83,huang-he,8
121,huang-he,8
178,huang-he,8
113,huang-he,8
141,huang-he-1,8
179,huang-he-1,8
81,huang-he-1,8
181,huang-he-1,8
168,liang-zi-hu,9
61,liao-he,10
57,liao-he,10
70,liao-he,10
116,liao-he,10
70,liao-he-1,10
132,liao-he-1,10
135,liao-he-2,10
180,liao-he-2,10
128,min-jiang,11
198,nei-lu-he-liu,12
199,nei-lu-he-liu,12
56,po-yang-hu,13
193,po-yang-hu,14
203,po-yang-hu,14
104,qian-tang-jiang,15
180,song-hua-jiang,16
186,song-hua-jiang,16
187,song-hua-jiang,16
189,song-hua-jiang,16
67,song-hua-jiang,16
195,song-hua-jiang,16
14,song-hua-jiang,16
204,song-hua-jiang,16
69,song-hua-jiang,16
196,song-hua-jiang,16
133,song-hua-jiang,16
185,song-hua-jiang,16
213,song-hua-jiang,16
143,song-hua-jiang,16
182,song-hua-jiang,16
183,song-hua-jiang,16
201,song-hua-jiang-1,16
67,song-hua-jiang-1,16
195,song-hua-jiang-1,16
68,song-hua-jiang-1,16
208,song-hua-jiang-2,16
191,song-hua-jiang-2,16
215,song-hua-jiang-2,16
69,song-hua-jiang-2,16
204,song-hua-jiang-2,16
205,song-hua-jiang-2,16
188,song-hua-jiang-2,16
212,song-hua-jiang-3,16
143,song-hua-jiang-3,16
136,song-hua-jiang-4,16
211,song-hua-jiang-4,16
97,tai-hu,17
139,tai-hu,17
8,tai-hu,17
111,tai-hu,17
77,tai-hu,17
103,tai-hu,17
129,tai-hu,17
103,tai-hu,17
8,tai-hu,17
140,xi-nan-zhu-he,18
146,xi-nan-zhu-he-1,18
194,xi-nan-zhu-he-2,18
206,xi-nan-zhu-he-3,18
214,xi-nan-zhu-he-4,18
216,xi-nan-zhu-he-5,18
200,xing-kai-hu,19
112,chang-jiang,20
18,chang-jiang,20
56,chang-jiang,20
65,chang-jiang,20
16,chang-jiang,20
75,chang-jiang,20
5,chang-jiang,20
118,chang-jiang,20
117,chang-jiang,20
74,chang-jiang,20
123,chang-jiang-1,20
114,chang-jiang-1,20
56,chang-jiang-1,20
18,chang-jiang-1,20
78,chang-jiang-1,20
137,chang-jiang-2,20
125,chang-jiang-2,20
65,chang-jiang-2,20
168,chang-jiang-2,20
158,chang-jiang-3,20
75,chang-jiang-3,20
5,chang-jiang-3,20
167,chang-jiang-3,20
119,chang-jiang-4,20
117,chang-jiang-4,20
175,chang-jiang-5,20
176,chang-jiang-5,20
172,chang-jiang-5,20
107,chang-jiang-5,20
16,chang-jiang-5,20
110,chang-jiang-6,20
172,chang-jiang-6,20
173,chang-jiang-6,20
184,chang-jiang-7,20
172,chang-jiang-7,20
193,chang-jiang-8,20
114,chang-jiang-8,20
18,chang-jiang-9,20
111,chang-jiang-9,20
63,zhu-jiang,21
64,zhu-jiang,21
142,zhu-jiang,21
79,zhu-jiang,21
63,zhu-jiang,21
127,zhu-jiang-1,21
80,zhu-jiang-1,21
126,zhu-jiang-1,21
79,zhu-jiang-1,21
131,zhu-jiang-1,21
