code,basin
78,chao-hu
105,chao-hu
62,dian-chi
124,dian-chi
209,dian-chi
210,dian-chi
197,er-hai
177,fu-xian-hu
53,hai-he
54,hai-he
60,hai-he
66,hai-he
72,hai-he
73,hai-he
138,hai-he
190,hai-nan-dao-nei-he-liu
192,hai-nan-dao-nei-he-liu
202,hai-nan-dao-nei-he-liu
19,huai-he
20,huai-he
32,huai-he
55,huai-he
58,huai-he
59,huai-he
106,huai-he
109,huai-he
115,huai-he
120,huai-he
122,huai-he
134,huai-he
147,huai-he
149,huai-he
150,huai-he
151,huai-he
152,huai-he
153,huai-he
154,huai-he
155,huai-he
156,huai-he
157,huai-he
159,huai-he
161,huai-he
162,huai-he
164,huai-he
166,huai-he
12,huang-he
81,huang-he
83,huang-he
84,huang-he
85,huang-he
108,huang-he
113,huang-he
121,huang-he
141,huang-he
178,huang-he
179,huang-he
181,huang-he
168,liang-zi-hu
57,liao-he
61,liao-he
70,liao-he
116,liao-he
132,liao-he
135,liao-he
180,liao-he
128,min-jiang
198,nei-lu-he-liu
199,nei-lu-he-liu
193,po-yang-hu
203,po-yang-hu
104,qian-tang-jiang
14,song-hua-jiang
67,song-hua-jiang
68,song-hua-jiang
69,song-hua-jiang
133,song-hua-jiang
136,song-hua-jiang
143,song-hua-jiang
144,song-hua-jiang
182,song-hua-jiang
183,song-hua-jiang
185,song-hua-jiang
186,song-hua-jiang
187,song-hua-jiang
188,song-hua-jiang
189,song-hua-jiang
191,song-hua-jiang
195,song-hua-jiang
196,song-hua-jiang
201,song-hua-jiang
204,song-hua-jiang
205,song-hua-jiang
207,song-hua-jiang
208,song-hua-jiang
211,song-hua-jiang
212,song-hua-jiang
213,song-hua-jiang
215,song-hua-jiang
8,tai-hu
77,tai-hu
97,tai-hu
103,tai-hu
111,tai-hu
129,tai-hu
139,tai-hu
140,xi-nan-zhu-he
146,xi-nan-zhu-he
194,xi-nan-zhu-he
206,xi-nan-zhu-he
214,xi-nan-zhu-he
216,xi-nan-zhu-he
200,xing-kai-hu
5,chang-jiang
16,chang-jiang
18,chang-jiang
56,chang-jiang
65,chang-jiang
74,chang-jiang
75,chang-jiang
76,chang-jiang
107,chang-jiang
110,chang-jiang
112,chang-jiang
114,chang-jiang
117,chang-jiang
118,chang-jiang
119,chang-jiang
123,chang-jiang
125,chang-jiang
137,chang-jiang
158,chang-jiang
167,chang-jiang
172,chang-jiang
173,chang-jiang
175,chang-jiang
176,chang-jiang
184,chang-jiang
63,zhu-jiang
64,zhu-jiang
79,zhu-jiang
80,zhu-jiang
126,zhu-jiang
127,zhu-jiang
131,zhu-jiang
142,zhu-jiang
