code,name
5,chongqing
8,zhejiang
12,henan
14,heilongjiang
16,hunan
18,jiangsu
19,jiangsu
20,jiangsu
32,anhui
53,beijing
54,tianjin
55,henan
56,anhui
57,liaoning
58,anhui
59,anhui
60,tianjin
61,liaoning
62,yunnan
63,guangdong
64,guangdong
65,hubei
66,hebei
67,jilin
68,jilin
69,heilongjiang
70,liaoning
72,hebei
73,beijing
74,sichuan
75,hubei
76,jiangxi
77,jiangsu
78,anhui
79,guangxi
80,guangxi
81,gansu
83,neimenggu
84,shanxi
85,shandong
97,zhejiang
103,jiangsu
104,zhejiang
105,anhui
106,anhui
107,hunan
108,shanxi
109,anhui
110,hunan
111,jiangsu
112,jiangsu
113,ningxia
114,jiangxi
115,shandong
116,liaoning
117,sichuan
118,sichuan
119,sichuan
120,henan
121,neimenggu
122,henan
123,jiangxi
124,yunnan
125,hubei
126,guangxi
127,guangxi
128,fujian
129,shanghai
131,guangxi
132,liaoning
133,heilongjiang
134,shandong
135,liaoning
136,jilin
137,henan
138,shandong
139,zhejiang
140,yunnan
141,shanxi
142,guangdong
143,neimenggu
144,heilongjiang
146,yunnan
147,shandong
149,anhui
150,shandong
151,anhui
152,jiangsu
153,jiangsu
154,henan
155,anhui
156,jiangsu
157,henan
158,sichuan
159,anhui
161,anhui
162,henan
164,jiangsu
166,anhui
167,guizhou
168,hubei
172,hunan
173,hunan
175,hunan
176,hunan
177,yunnan
178,ningxia
179,gansu
180,jilin
181,qinghai
182,neimenggu
183,neimenggu
184,hunan
185,heilongjiang
186,jilin
187,jilin
188,jilin
189,jilin
190,hainan
191,heilongjiang
192,hainan
193,jiangxi
194,yunnan
195,jilin
196,heilongjiang
197,yunnan
198,xinjiang
199,xinjiang
200,heilongjiang
201,jilin
202,hainan
203,jiangxi
204,heilongjiang
205,heilongjiang
206,guangxi
207,heilongjiang
208,heilongjiang
209,yunnan
210,yunnan
211,jilin
212,neimenggu
213,heilongjiang
214,xizang
215,heilongjiang
216,guangxi
