code,province,city
5,zhong-qing,hu-tuo
8,zhe-jiang,u-zhou-xin-tang-gang
12,he-nan,i-yuan-xiao-lang-di
14,hei-long-jiang,hao-yuan
16,hu-nan,ue-yang-cheng-ling-ji
18,jiang-su,an-jing-lin-shan
19,jiang-su,u-yi
20,jiang-su,ei-cang
32,an-hui,u-nan-wang-jia-ba
53,bei-jing,u-bei-kou
54,tian-jin,uo-he-qiao
55,he-nan,hou-kou-lu-yi-fu-qiao-zha
56,an-hui,n-qing-wan-he-kou
57,liao-ning,ie-ling-zhu-er-shan
5,an-hui,uai-nan-shi-tou-bu
59,an-hui,ie-shou-qi-du-kou
60,tian-jin,an-cha-kou
61,liao-ning,an-jin-xing-an
62,yun-nan,un-ming-xi-yuan-sui-dao
63,guang-dong,uang-zhou-chang-zhou
64,guang-dong,ing-yuan-qi-xing-gang
65,hu-bei,u-han-zong-guan
66,he-bei,hang-jia-kou-ba-hao-qiao
67,ji-lin,hang-chun-song-hua-jiang-cun
68,ji-lin,ai-cheng-bai-sha-tan
69,hei-long-jiang,ong-jiang
70,liao-ning,ing-kou-liao-he-gong-yuan
72,he-bei,hi-jia-zhuang-gang-nan-shui-ku
73,bei-jing,en-tou-gou-yan-he-cheng
74,si-chuan,an-zhi-hua-long-dong
75,hu-bei,i-chang-nan-jin-guan
76,jiang-xi,iu-jiang-he-xi-shui-chang
77,jiang-su,u-xi-sha-zhu
78,an-hui,hao-hu-yu-xi-kou
79,guang-xi,u-zhou-jie-shou
80,guang-xi,an-ning-lao-kou
81,gan-su,an-zhou-xin-cheng-qiao
83,nei-meng-gu,ao-tou-hua-jiang-ying-zi
84,shan-xi,un-cheng-he-jin-da-qiao
85,shan-dong,i-nan-bo-kou
97,zhe-jiang,ia-xing-wang-jiang-jing
103,jiang-su,u-zhou-xi-shan
104,zhe-jiang,ang-zhou-jiu-keng-kou
105,an-hui,e-fei-hu-bin
106,an-hui,uai-bei-xiao-wang-qiao
107,hu-nan,ue-yang-yue-yang-lou
108,shan-xi,in-zhou-wan-jia-zhai
109,an-hui,ang-bu-bang-bu-zha
110,hu-nan,hang-sha-xin-gang
111,jiang-su,i-xing-lan-shan-zui
112,jiang-su,ang-zhou-san-jiang-ying
113,ning-xia,hong-wei-xin-dun
114,jiang-xi,iu-jiang-ha-ma-shi
115,shan-dong,in-yi-qing-quan-si
116,liao-ning,u-shun-da-huo-fang-shui-ku
117,si-chuan,i-bin-liang-jiang-gou
118,si-chuan,u-zhou-tuo-jiang-er-qiao
119,si-chuan,e-shan-min-jiang-da-qiao
120,he-nan,hu-ma-dian-ban-tai
121,nei-meng-gu,u-hai-hai-bo-wan
122,he-nan,hou-kou-shen-qiu-zha
123,jiang-xi,an-chang-chu-cha
124,yun-nan,un-ming-guan-yin-shan
125,hu-bei,an-jiang-kou-hu-jia-ling
126,guang-xi,ui-gang-shi-zui
127,guang-xi,ing-xiang-ping-er-guan
128,fu-jian,u-zhou-bai-yan-tan
129,shang-hai,ing-pu-ji-shui-gang
131,guang-xi,ui-lin-yang-shuo
132,liao-ning,iao-yang-tang-he-shui-ku
133,hei-long-jiang,ei-he
134,shan-dong,ao-zhuang-tai-er-zhuang
135,liao-ning,an-dong-ya-lv-jiang-qiao
136,ji-lin,an-bian-quan-he
137,he-nan,an-yang-tao-cha
138,shan-dong,iao-cheng-cheng-gou-wan
139,zhe-jiang,ia-xing-xie-lu-gang
140,yun-nan,i-shuang-ban-na-gan-lan-ba
141,shan-xi,ei-nan-tong-guan-diao-qiao
142,guang-dong,hong-shan-heng-lan
143,nei-meng-gu,u-lun-bei-er-hei-shan-tou
144,hei-long-jiang,u-yuan-wu-su-zhen
146,yun-nan,ong-he-zhou-he-kou
147,shan-dong,in-yi-zhong-fang-qiao
149,an-hui,hu-zhou-xiao-liu-xiang
150,shan-dong,in-yi-lao-gou-qiao
151,an-hui,u-zhou-si-xian-gong-lu-qiao
152,jiang-su,i-hong-da-qu
153,jiang-su,u-zhou-xiao-hong-quan
154,he-nan,in-yang-huai-bin-shui-wen-zhan
155,an-hui,o-zhou-yan-ji
156,jiang-su,ian-yun-gang-da-xing-qiao
157,he-nan,ong-cheng-huang-kou
158,si-chuan,uang-yuan-qing-feng-xia
159,an-hui,u-zhou-yang-zhuang
161,an-hui,u-yang-zhang-da-qiao
162,he-nan,in-yang-jiang-ji-shui-wen-zhan
164,jiang-su,u-zhou-li-ji-qiao
166,an-hui,u-yang-xu-zhuang
167,gui-zhou,hi-shui-lian-yu-xi
168,hu-bei,zhou-qi-xing
172,hu-nan,ue-yang-lu-jiao
173,hu-nan,hang-de-po-tou
175,hu-nan,hang-de-sha-he-kou
176,hu-nan,i-yang-nan-zui
177,yun-nan,u-xi-gu-shan
178,ning-xia,hi-zui-shan-ma-huang-gou
179,gan-su,ian-shui-niu-bei
180,ji-lin,i-an-shang-huo-long
181,qing-hai,uang-shui-min-he-qiao
182,nei-meng-gu,u-lun-bei-er-cuo-gang
183,nei-meng-gu,u-lun-bei-er-da-tie-qiao
184,hu-nan,i-yang-wan-jia-zui
185,hei-long-jiang,u-ma
186,ji-lin,in-jiang-wei-sha-he
187,ji-lin,hang-bai-lv-jiang-cun
188,ji-lin,un-hua-xin-dian
189,ji-lin,i-lang-kou
190,hai-nan,hang-hua-jiang
191,hei-long-jiang,u-lin
192,hai-nan,ai-kou-tie-qiao-cun
193,jiang-xi,iu-jiang-du-chang
194,yun-nan,e-hong-ga-zhong-qiao
195,ji-lin,ong-yuan-song-lin
196,hei-long-jiang,ia-yin
197,yun-nan,a-li-xiao-guan-yi
198,xin-jiang,er-qi-si-nan-wan-shui-wen-zhan
199,xin-jiang,3-tuan-yi-li-he-da-qiao
200,hei-long-jiang,i-xi-long-wang-miao
201,ji-lin,hang-chun-nan-lou
202,hai-nan,an-quan-he-dan-cun
203,jiang-xi,hang-rao-kang-shan
204,hei-long-jiang,ia-mu-si-jiang-xin-dao
205,hei-long-jiang,u-dan-jiang-kou-nei
206,guang-xi,ang-cheng-gang-dong-xing
207,hei-long-jiang,i-xi-zhi-yi-qiao
208,hei-long-jiang,i-xi-dang-bi-zhen
209,yun-nan,un-ming-dian-chi-nan-an
210,yun-nan,un-ming-luo-jia-ying
211,ji-lin,an-bian-nan-ping
212,nei-meng-gu,u-lun-bei-er-bei-er-hu
213,hei-long-jiang,o-he-bei-ji-cun
214,xi-cang,in-zhi-mi-rui
215,hei-long-jiang,u-yuan
216,guang-xi,hong-zuo-ba-jiao-dian-zha
217,yun-nan,ao-shan-hong-qi-qia
218,hei-long-jiang,a-er-bin-hu-lan-he-tie-lu-qia
219,yun-nan,a-li-er-hai-jin-he-zha
